Milliseconds,Seconds,Latitude,Lat Degree,Lat Minute,Lat Second,Longitude,Long Degree,Long Minute,Long Second,Altitude,Speed,AcclX,AcclY,AcclZ,GyroX,GyroY,GyroZ,Course,Heading
93022,93,49.2429094,49,14,34.47384,-121.8889125,-121,-53,-20.085,653.34,10.101,12.27098321,0.105515588,2.817745803,-0.079872204,0.036208733,0.218317359,214.2,216.2
94031,94,49.242868,49,14,34.3248,-121.8890342,-121,-53,-20.52312,653.046,9.665,9.810551559,0.87529976,4.29736211,-0.136315229,-0.792332268,-0.272630458,211.7,213.7
95040,95,49.2428274,49,14,34.17864,-121.8891193,-121,-53,-20.82948,653.975,7.155,8.894484412,-0.79616307,2.345323741,-0.810436635,0.673056443,-0.013844515,220.4,222.4
96030,96,49.2427901,49,14,34.04436,-121.8891783,-121,-53,-21.04188,654.06,5.983,7.839328537,1.371702638,-1.851318945,-0.112886049,1.80085197,-0.711395101,210,211
97020,97,49.2427555,49,14,33.9198,-121.8892364,-121,-53,-21.25104,652.822,5.815,7.410071942,-3.966426859,1.052757794,0.686900958,0.995740149,-0.115015974,211.4,208.4
98027,98,49.2427193,49,14,33.78948,-121.8893066,-121,-53,-21.50376,650.567,6.368,8.793764988,0.664268585,2.918465228,-0.08200213,-0.579339723,-0.088391906,208.6,208.6
99036,99,49.2426803,49,14,33.64908,-121.8893869,-121,-53,-21.79284,648.369,7.43,10.12470024,1.678657074,1.501199041,-1.807241747,0.126730564,-0.092651757,209.6,208.6
100045,100,49.2426353,49,14,33.48708,-121.8894701,-121,-53,-22.09236,646.574,8.053,10.28776978,-1.206235012,0.949640288,3.32800852,0.73056443,0.340788072,218.4,216.4
101035,101,49.2425846,49,14,33.30456,-121.8895502,-121,-53,-22.38072,644.729,8.108,10.09352518,0.928057554,-1.96882494,-0.911608094,-0.041533546,-0.235356763,209.6,206.6
102025,102,49.2425349,49,14,33.12564,-121.8896254,-121,-53,-22.65144,643.49,7.702,9.338129496,-1.083932854,1.664268585,0.092651757,0.076677316,-0.041533546,215.6,218.6
103032,103,49.2424838,49,14,32.94168,-121.889706,-121,-53,-22.9416,642.11,7.875,9.208633094,-0.479616307,1.966426859,0.193823216,0.165069223,-0.033013845,209,207
104005,104,49.2424429,49,14,32.79444,-121.8897834,-121,-53,-23.22024,640.39,7.332,8.541966427,0.019184652,0.932853717,0.102236422,0.146964856,0.486687966,215.3,215.3
105031,105,49.2424011,49,14,32.64396,-121.8898605,-121,-53,-23.4978,637.07,7.706,9.467625899,-0.016786571,0.70263789,-0.120340788,0.01171459,-0.177848775,218,221
